town_id,town,elec,gas,cable,elec_2005,gas_2005,cable_2005
341,WILLIAMSTOWN,National Grid,Berkshire Gas,Time Warner,National Grid,Berkshire Gas,Adelphia
342,WILMINGTON,Municipal,National Grid,Comcast; Verizon,Municipal,KeySpan,Comcast
343,WINCHENDON,National Grid,None,Comcast,National Grid,None,Comcast
344,WINCHESTER,NSTAR,National Grid,Comcast; RCN; Verizon,NSTAR,KeySpan,Comcast
345,WINDSOR,WMECO,None,None,WMECO,None,None
346,WINTHROP,National Grid,National Grid,Comcast,National Grid,KeySpan,Comcast
347,WOBURN,NSTAR,National Grid,Comcast; RCN; Verizon,NSTAR,KeySpan,Comcast; RCN
348,WORCESTER,National Grid,NSTAR,Charter,National Grid,NSTAR,Charter
349,WORTHINGTON,WMECO,None,None,WMECO,None,None
350,WRENTHAM,National Grid,Bay State,Comcast,National Grid,Bay State,Comcast
351,YARMOUTH,NSTAR,National Grid,Comcast,NSTAR,KeySpan,Comcast
